#,Company,Symbol,Weight,Price,Chg,% Chg
403,Ingersoll Rand Inc.,IR,0.034542,20.30,0.29,(1.45%)
404,Cabot Oil & Gas Corporation,COG,0.034538,16.02,-0.89,(-5.26%)
405,Universal Health Services Inc. Class B,UHS,0.034466,81.85,-3.00,(-3.53%)
406,E*TRADE Financial Corporation,ETFC,0.034305,30.16,-0.12,(-0.40%)
407,ViacomCBS Inc. Class B,VIAC,0.033927,12.31,-0.31,(-2.46%)
408,Expedia Group Inc.,EXPE,0.033496,51.59,3.16,(6.51%)
409,Albemarle Corporation,ALB,0.033052,58.80,-3.14,(-5.07%)
410,Baker Hughes Company Class A,BKR,0.032966,10.46,0.32,(3.16%)
411,Globe Life Inc.,GL,0.032385,66.28,1.78,(2.76%)
412,DaVita Inc.,DVA,0.032346,67.00,-4.34,(-6.08%)
413,WestRock Company,WRK,0.032236,25.21,0.05,(0.20%)
414,Discovery Inc. Class C,DISCK,0.031737,17.64,-1.26,(-6.64%)
415,ABIOMED Inc.,ABMD,0.031549,136.79,-3.72,(-2.65%)
416,Regency Centers Corporation,REG,0.031308,37.41,-0.12,(-0.32%)
417,Juniper Networks Inc.,JNPR,0.031029,18.04,-0.13,(-0.72%)
418,Arconic Inc.,ARNC,0.030712,14.54,-1.31,(-8.26%)
419,CenterPoint Energy Inc.,CNP,0.030487,13.32,1.09,(8.91%)
420,NRG Energy Inc.,NRG,0.030313,25.30,1.35,(5.64%)
421,Hasbro Inc.,HAS,0.030151,49.38,2.09,(4.42%)
422,Advance Auto Parts Inc.,AAP,0.029816,80.72,-5.25,(-6.11%)
423,Perrigo Co. Plc,PRGO,0.029784,42.86,-0.89,(-2.03%)
424,Snap-on Incorporated,SNA,0.02973,102.77,-4.27,(-3.98%)
425,F5 Networks Inc.,FFIV,0.029409,98.94,0.61,(0.62%)
426,Textron Inc.,TXT,0.029293,23.91,-1.54,(-6.05%)
427,United Rentals Inc.,URI,0.029251,72.99,-4.73,(-6.08%)
428,People's United Financial Inc.,PBCT,0.029206,12.43,-0.69,(-5.26%)
429,Eastman Chemical Company,EMN,0.02822,41.70,0.45,(1.09%)
430,DISH Network Corporation Class A,DISH,0.027946,19.48,-2.39,(-10.93%)
