#,Company,Symbol,Weight,Price,Chg,% Chg
165,T-Mobile US Inc.,TMUS,0.125182,77.84,-1.62,(-2.03%)
166,Eversource Energy,ES,0.123728,73.74,-3.31,(-4.30%)
167,Allstate Corporation,ALL,0.121279,77.05,2.36,(3.16%)
168,Clorox Company,CLX,0.120666,179.37,-12.41,(-6.47%)
169,T. Rowe Price Group,TROW,0.120033,96.09,-6.52,(-6.35%)
170,DuPont de Nemours Inc.,DD,0.117867,32.86,1.20,(3.77%)
171,Ross Stores Inc.,ROST,0.117782,67.69,2.69,(4.13%)
172,McKesson Corporation,MCK,0.115055,130.53,3.13,(2.46%)
173,eBay Inc.,EBAY,0.113464,28.10,-1.50,(-5.07%)
174,General Motors Company,GM,0.111344,18.60,0.89,(5.03%)
175,Verisk Analytics Inc,VRSK,0.111304,127.69,-8.79,(-6.44%)
176,Travelers Companies Inc.,TRV,0.111233,93.21,7.14,(8.30%)
177,HCA Healthcare Inc,HCA,0.110845,78.70,-4.81,(-5.75%)
178,O'Reilly Automotive Inc.,ORLY,0.110106,273.55,-16.98,(-5.84%)
179,Kinder Morgan Inc Class P,KMI,0.108479,11.61,0.41,(3.66%)
180,Capital One Financial Corporation,COF,0.107901,45.89,-0.37,(-0.80%)
181,HP Inc.,HPQ,0.10677,14.51,0.11,(0.76%)
182,Equity Residential,EQR,0.105713,58.53,-2.08,(-3.43%)
183,MetLife Inc.,MET,0.105003,25.49,-1.31,(-4.89%)
184,IHS Markit Ltd.,INFO,0.104683,50.98,-1.18,(-2.26%)
185,Dow Inc.,DOW,0.104543,27.51,-0.62,(-2.19%)
186,Monster Beverage Corporation,MNST,0.103874,55.28,0.96,(1.77%)
187,American Water Works Company Inc.,AWK,0.10365,105.97,-9.16,(-7.95%)
188,Constellation Brands Inc. Class A,STZ,0.102866,120.18,-2.88,(-2.34%)
189,AvalonBay Communities Inc.,AVB,0.102185,142.88,-3.69,(-2.52%)
190,Amphenol Corporation Class A,APH,0.102138,70.39,1.63,(2.37%)
191,Agilent Technologies Inc.,A,0.101828,67.90,2.14,(3.25%)
192,Phillips 66,PSX,0.101663,48.20,2.52,(5.51%)
193,Johnson Controls International plc,JCI,0.10084,25.26,-0.82,(-3.14%)
194,KLA Corporation,KLAC,0.100634,126.88,-0.48,(-0.38%)
195,MSCI Inc. Class A,MSCI,0.099552,246.16,8.81,(3.71%)
196,Aflac Incorporated,AFL,0.098909,28.14,1.24,(4.61%)
197,AutoZone Inc.,AZO,0.098769,772.52,-54.77,(-6.62%)
198,Trane Technologies plc,TT,0.098578,79.73,-2.00,(-2.45%)
199,Ball Corporation,BLL,0.098479,56.00,-4.11,(-6.83%)
200,Public Service Enterprise Group Inc,PEG,0.098413,39.50,0.36,(0.92%)
201,Willis Towers Watson Public Limited Company,WLTW,0.09797,155.55,2.96,(1.94%)
202,FirstEnergy Corp.,FE,0.097236,35.73,-0.26,(-0.72%)
203,ResMed Inc.,RMD,0.097039,125.13,-10.97,(-8.06%)
204,EOG Resources Inc.,EOG,0.096868,35.90,2.68,(8.05%)
205,PACCAR Inc,PCAR,0.096432,53.86,-2.17,(-3.87%)
206,Schlumberger NV,SLB,0.096246,14.16,0.29,(2.05%)
207,Xilinx Inc.,XLNX,0.095496,74.47,-0.99,(-1.31%)
208,Yum! Brands Inc.,YUM,0.095397,61.17,-1.44,(-2.29%)
209,Sysco Corporation,SYY,0.095277,37.46,0.35,(0.94%)
210,ANSYS Inc.,ANSS,0.094828,215.37,-5.72,(-2.59%)
211,V.F. Corporation,VFC,0.093694,55.95,-1.13,(-1.98%)
212,Cerner Corporation,CERN,0.093597,57.48,-2.01,(-3.38%)
213,Archer-Daniels-Midland Company,ADM,0.09334,32.11,-1.36,(-4.05%)
214,Twitter Inc.,TWTR,0.093337,24.55,0.42,(1.74%)
215,Alexion Pharmaceuticals Inc.,ALXN,0.092499,81.64,-1.86,(-2.23%)
216,Paychex Inc.,PAYX,0.092358,53.61,-4.42,(-7.62%)
217,Fastenal Company,FAST,0.092069,30.61,-1.69,(-5.23%)
218,TE Connectivity Ltd.,TEL,0.091949,55.64,1.04,(1.90%)
219,Zimmer Biomet Holdings Inc.,ZBH,0.0919,87.95,-1.19,(-1.33%)
220,Cummins Inc.,CMI,0.091033,118.45,-0.10,(-0.08%)
221,Marriott International Inc. Class A,MAR,0.090782,76.81,10.01,(14.99%)
222,Hershey Company,HSY,0.09076,122.76,0.97,(0.79%)
223,PPG Industries Inc.,PPG,0.09037,73.72,-2.84,(-3.71%)
224,American International Group Inc.,AIG,0.089387,20.44,-0.16,(-0.78%)
225,Prudential Financial Inc.,PRU,0.089225,45.07,0.70,(1.58%)
226,Mettler-Toledo International Inc.,MTD,0.087931,677.25,-44.18,(-6.12%)
227,Ford Motor Company,F,0.087573,4.37,-0.11,(-2.35%)
228,Ameren Corporation,AEE,0.087472,67.16,-4.72,(-6.57%)
229,Edison International,EIX,0.087352,49.32,0.56,(1.14%)
230,Corteva Inc,CTVA,0.086946,22.05,-1.22,(-5.22%)
231,Simon Property Group Inc.,SPG,0.085657,57.37,1.63,(2.92%)
232,Synopsys Inc.,SNPS,0.085573,113.39,-1.57,(-1.37%)
233,VeriSign Inc.,VRSN,0.085149,160.82,-3.78,(-2.30%)
234,State Street Corporation,STT,0.084994,47.86,1.23,(2.64%)
235,Dollar Tree Inc.,DLTR,0.083892,74.70,3.83,(5.40%)
236,Entergy Corporation,ETR,0.083614,87.03,2.98,(3.55%)
237,FleetCor Technologies Inc.,FLT,0.08311,193.00,-0.30,(-0.16%)
238,Welltower Inc.,WELL,0.08285,42.71,1.79,(4.37%)
239,IDEXX Laboratories Inc.,IDXX,0.082808,191.52,-1.66,(-0.86%)
240,DTE Energy Company,DTE,0.082264,82.88,-2.53,(-2.96%)
241,Hilton Worldwide Holdings Inc,HLT,0.082072,61.67,3.64,(6.27%)
242,Corning Inc,GLW,0.081931,19.90,-1.37,(-6.44%)
243,IQVIA Holdings Inc,IQV,0.081906,94.23,3.61,(3.98%)
244,Church & Dwight Co. Inc.,CHD,0.08158,65.50,-1.20,(-1.80%)
245,Keysight Technologies Inc,KEYS,0.080402,82.36,-3.61,(-4.20%)
246,CMS Energy Corporation,CMS,0.080136,53.90,-2.59,(-4.58%)
247,Tyson Foods Inc. Class A,TSN,0.079923,55.43,1.22,(2.25%)
248,Realty Income Corporation,O,0.078543,48.60,0.52,(1.08%)
249,Republic Services Inc.,RSG,0.078362,72.60,-1.40,(-1.89%)
250,Cadence Design Systems Inc.,CDNS,0.078292,55.99,0.27,(0.49%)
251,PPL Corporation,PPL,0.078208,22.43,0.84,(3.89%)
252,Rockwell Automation Inc.,ROK,0.078179,132.31,-2.77,(-2.05%)
253,AMETEK Inc.,AME,0.078171,67.34,-1.67,(-2.42%)
254,Valero Energy Corporation,VLO,0.076952,39.55,2.14,(5.72%)
255,McCormick & Company Incorporated,MKC,0.076635,133.36,7.73,(6.15%)
256,Kellogg Company,K,0.076457,57.36,-4.07,(-6.63%)
257,Cintas Corporation,CTAS,0.075995,179.16,-3.84,(-2.10%)
258,Alexandria Real Estate Equities Inc.,ARE,0.075992,125.80,-6.21,(-4.70%)
259,TransDigm Group Incorporated,TDG,0.075957,315.61,9.84,(3.22%)
260,First Republic Bank,FRC,0.075798,86.46,-3.60,(-4.00%)
261,Southwest Airlines Co.,LUV,0.073264,31.02,0.16,(0.52%)
262,Microchip Technology Incorporated,MCHP,0.072542,61.12,0.56,(0.92%)
263,Citrix Systems Inc.,CTXS,0.072159,125.50,0.19,(0.15%)
264,Akamai Technologies Inc.,AKAM,0.071877,85.55,-3.30,(-3.71%)
265,Copart Inc.,CPRT,0.07176,64.08,-5.91,(-8.44%)
266,Northern Trust Corporation,NTRS,0.071554,67.10,-0.31,(-0.46%)
267,Equifax Inc.,EFX,0.069404,112.87,-2.54,(-2.20%)
268,M&T Bank Corporation,MTB,0.069292,102.80,-2.04,(-1.95%)
269,Kraft Heinz Company,KHC,0.069018,22.25,-0.03,(-0.13%)
270,Essex Property Trust Inc.,ESS,0.068414,204.52,-4.55,(-2.18%)
271,Chipotle Mexican Grill Inc.,CMG,0.068392,565.53,29.38,(5.48%)
272,Las Vegas Sands Corp.,LVS,0.068286,44.04,3.68,(9.12%)
273,Fortive Corp.,FTV,0.067905,46.76,0.71,(1.54%)
274,Tiffany & Co.,TIF,0.067595,125.99,-0.01,(-0.01%)
275,Cooper Companies Inc.,COO,0.067013,260.14,-13.01,(-4.76%)
276,Parker-Hannifin Corporation,PH,0.066837,110.09,5.86,(5.62%)
277,CBRE Group Inc. Class A,CBRE,0.066366,36.55,-2.89,(-7.33%)
278,Skyworks Solutions Inc.,SWKS,0.065948,77.90,0.62,(0.80%)
279,Williams Companies Inc.,WMB,0.065175,11.32,0.50,(4.62%)
280,AmerisourceBergen Corporation,ABC,0.064718,85.48,-0.52,(-0.60%)
281,Cardinal Health Inc.,CAH,0.064584,44.22,0.43,(0.98%)
282,Hormel Foods Corporation,HRL,0.064115,45.41,-1.81,(-3.83%)
283,CDW Corp.,CDW,0.063905,86.45,-1.82,(-2.06%)
284,Conagra Brands Inc.,CAG,0.063717,25.58,-0.73,(-2.77%)
285,Arthur J. Gallagher & Co.,AJG,0.063307,72.26,3.71,(5.40%)
286,Stanley Black & Decker Inc.,SWK,0.063263,87.09,3.32,(3.96%)
287,Evergy Inc.,EVRG,0.06294,51.88,-3.22,(-5.84%)
288,Best Buy Co. Inc.,BBY,0.062442,53.50,-1.25,(-2.28%)
289,Maxim Integrated Products Inc.,MXIM,0.062314,45.15,-0.61,(-1.33%)
290,Delta Air Lines Inc.,DAL,0.062277,22.08,0.57,(2.65%)
291,Cincinnati Financial Corporation,CINF,0.062138,77.82,-4.11,(-5.02%)
292,J.M. Smucker Company,SJM,0.061789,107.05,-1.97,(-1.81%)
293,Boston Properties Inc.,BXP,0.061563,89.53,3.96,(4.62%)
294,Fortinet Inc.,FTNT,0.061165,88.69,2.53,(2.94%)
295,Ameriprise Financial Inc.,AMP,0.060599,91.16,-4.27,(-4.47%)
296,Hartford Financial Services Group Inc.,HIG,0.060394,33.40,-0.12,(-0.36%)
297,Amcor PLC,AMCR,0.060298,7.81,0.38,(5.11%)
298,Weyerhaeuser Company,WY,0.059799,15.90,-0.24,(-1.49%)
299,Omnicom Group Inc,OMC,0.059665,50.58,-4.26,(-7.77%)
300,MarketAxess Holdings Inc.,MKTX,0.059582,305.76,-10.37,(-3.28%)
301,Vulcan Materials Company,VMC,0.059581,86.88,-3.34,(-3.70%)
302,Hewlett Packard Enterprise Co.,HPE,0.059507,9.09,-0.03,(-0.27%)
303,Take-Two Interactive Software Inc.,TTWO,0.059496,105.02,-1.34,(-1.26%)
304,International Paper Company,IP,0.059209,30.34,0.21,(0.70%)
305,Atmos Energy Corporation,ATO,0.058929,92.32,-6.19,(-6.28%)
306,Incyte Corporation,INCY,0.058796,70.14,3.63,(5.45%)
307,Teleflex Incorporated,TFX,0.058716,260.44,6.04,(2.37%)
308,Kansas City Southern,KSU,0.058377,113.67,-2.75,(-2.36%)
309,Xylem Inc.,XYL,0.057649,62.02,-2.44,(-3.79%)
310,International Flavors & Fragrances Inc.,IFF,0.057385,107.11,-0.31,(-0.29%)
311,Waters Corporation,WAT,0.057305,175.67,-1.75,(-0.99%)
312,Jack Henry & Associates Inc.,JKHY,0.056634,145.23,-3.35,(-2.25%)
313,Mid-America Apartment Communities Inc.,MAA,0.05644,94.96,-4.51,(-4.53%)
314,Laboratory Corporation of America Holdings,LH,0.055953,113.89,-0.62,(-0.54%)
315,LyondellBasell Industries NV,LYB,0.055831,42.28,-0.96,(-2.21%)
316,Extra Space Storage Inc.,EXR,0.05499,85.26,-1.44,(-1.66%)
317,Marathon Petroleum Corporation,MPC,0.05442,18.46,1.74,(10.41%)
318,Broadridge Financial Solutions Inc.,BR,0.053428,93.14,-0.30,(-0.32%)
319,Alliant Energy Corp,LNT,0.052977,44.60,-0.43,(-0.95%)
320,Quest Diagnostics Incorporated,DGX,0.052718,77.01,-2.30,(-2.90%)
321,Martin Marietta Materials Inc.,MLM,0.052413,158.98,-9.26,(-5.50%)
