#,Company,Symbol,Weight,Price,Chg,% Chg
88,Skyworks Solutions Inc,SWKS,0.179,77.59,0.31,(0.39%)
89,CDW Corp/DE,CDW,0.172,86.42,-1.85,(-2.10%)
90,Maxim Integrated Products Inc,MXIM,0.168,44.99,-0.77,(-1.68%)
91,Take-Two Interactive Software Inc,TTWO,0.164,104.80,-1.56,(-1.47%)
92,Trip.com Group Ltd ADR,TCOM,0.164,24.15,1.10,(4.77%)
93,Align Technology Inc,ALGN,0.152,152.42,10.19,(7.16%)
94,Western Digital Corp,WDC,0.127,33.15,1.81,(5.78%)
95,NetApp Inc,NTAP,0.120,37.15,-1.41,(-3.66%)
96,Ulta Beauty Inc,ULTA,0.118,162.14,15.15,(10.31%)
97,Fox Corp,FOXA,0.110,21.79,-1.03,(-4.51%)
98,Liberty Global PLC,LBTYK,0.099,16.72,0.12,(0.72%)
99,Expedia Group Inc,EXPE,0.092,51.45,3.02,(6.24%)
100,Fox Corp,FOX,0.079,21.10,-0.84,(-3.83%)
101,United Airlines Holdings Inc,UAL,0.073,25.15,3.87,(18.19%)
102,American Airlines Group Inc,AAL,0.061,10.55,0.26,(2.48%)
103,Liberty Global PLC,LBTYA,0.044,17.83,0.13,(0.71%)
