,Company  Name,Details,Symbol,First Trade Date,sector / industry
4638,(HEZU)  iShares Currency Hedged MSCI EMU ETF,Stock Research for HEZU,HEZU,2014-08-22,"('Europe Stock', None)"
1771,(HEZU)  iShares Currency Hedged MSCI EMU ETF,Stock Research for HEZU,HEZU,2014-08-22,"('Europe Stock', None)"
2349,(LTRPA)  Liberty TripAdvisor Holdings Inc.,Stock Research for LTRPA,LTRPA,2014-08-27,"('Communication Services', 'Internet Content & Information')"
335,(AUPH)  Aurinia Pharmaceuticals Inc.,Stock Research for AUPH,AUPH,2014-09-03,"('Healthcare', 'Biotechnology')"
693,(CFRX)  ContraFect Corp.,Stock Research for CFRX,CFRX,2014-09-12,"('Healthcare', 'Biotechnology')"
90,(AFMD)  Affimed N.V.,Stock Research for AFMD,AFMD,2014-09-12,"('Healthcare', 'Biotechnology')"
4021,(VEC)  Vectrus Inc.,Stock Research for VEC,VEC,2014-09-16,"('Industrials', 'Aerospace & Defense')"
3042,(PRQR)  ProQR Therapeutics N.V.,Stock Research for PRQR,PRQR,2014-09-18,"('Healthcare', 'Biotechnology')"
386,(BABA)  Alibaba Group Holding Ltd,Stock Research for BABA,BABA,2014-09-19,"('Consumer Cyclical', 'Internet Retail')"
660,(CDK)  CDK Global Inc.,Stock Research for CDK,CDK,2014-09-22,"('Technology', 'Software—Application')"
974,(CZR)  Caesars Entertainment Inc.,Stock Research for CZR,CZR,2014-09-22,"('Consumer Cyclical', 'Resorts & Casinos')"
967,(CYBR)  Cyber-Ark Software Ltd.,Stock Research for CYBR,CYBR,2014-09-24,"('Technology', 'Software—Infrastructure')"
691,(CFG)  Citizens Financial Group Inc.,Stock Research for CFG,CFG,2014-09-24,"('Financial Services', 'Banks—Regional')"
4391,(ARKW)  ARK Next Generation Internet ETF,Stock Research for ARKW,ARKW,2014-09-30,"('Technology', None)"
270,(ARKW)  ARK Next Generation Internet ETF,Stock Research for ARKW,ARKW,2014-09-30,"('Technology', None)"
4007,(VBLT)  Vascular Biogenics Ltd.,Stock Research for VBLT,VBLT,2014-10-01,"('Healthcare', 'Biotechnology')"
605,(CALA)  Calithera Biosciences Inc.,Stock Research for CALA,CALA,2014-10-02,"('Healthcare', 'Biotechnology')"
4384,(AMZA)  InfraCap MLP ETF,Stock Research for AMZA,AMZA,2014-10-02,"('Energy Limited Partnership', None)"
4139,(W)  Wayfair Inc.,Stock Research for W,W,2014-10-02,"('Consumer Cyclical', 'Internet Retail')"
199,(AMZA)  InfraCap MLP ETF,Stock Research for AMZA,AMZA,2014-10-02,"('Energy Limited Partnership', None)"
1849,(HUBS)  HubSpot Inc.,Stock Research for HUBS,HUBS,2014-10-09,"('Technology', 'Software—Application')"
558,(BSIG)  BrightSphere Investment Group Inc.,Stock Research for BSIG,BSIG,2014-10-09,"('Financial Services', 'Asset Management')"
4009,(VBTX)  Veritex Holdings Inc.,Stock Research for VBTX,VBTX,2014-10-09,"('Financial Services', 'Banks—Regional')"
2982,(PLAY)  Dave & Buster`s Entertainment Inc.,Stock Research for PLAY,PLAY,2014-10-10,"('Consumer Cyclical', 'Restaurants')"
1713,(GWB)  Great Western Bancorp. Inc.,Stock Research for GWB,GWB,2014-10-15,"('Financial Services', 'Banks—Regional')"
325,(ATRA)  Atara Biotherapeutics Inc.,Stock Research for ATRA,ATRA,2014-10-16,"('Healthcare', 'Biotechnology')"
2163,(KEYS)  Keysight Technologies Inc.,Stock Research for KEYS,KEYS,2014-10-20,"('Technology', 'Scientific & Technical Instruments')"
348,(AVNS)  Avanos Medical Inc.,Stock Research for AVNS,AVNS,2014-10-21,"('Healthcare', 'Medical Devices')"
997,(DBVT)  DBV Technologies SA,Stock Research for DBVT,DBVT,2014-10-22,"('Healthcare', 'Biotechnology')"
858,(CRBP)  Corbus Pharmaceuticals Holdings Inc.,Stock Research for CRBP,CRBP,2014-10-27,"('Healthcare', 'Biotechnology')"
3512,(SNR)  New Senior Investment Group Inc.,Stock Research for SNR,SNR,2014-10-27,"('Real Estate', 'REIT—Residential')"
3430,(SIEN)  Sientra Inc.,Stock Research for SIEN,SIEN,2014-10-29,"('Healthcare', 'Medical Devices')"
3419,(SHLX)  Shell Midstream Partners L.P.,Stock Research for SHLX,SHLX,2014-10-29,"('Energy', 'Oil & Gas Midstream')"
528,(BOOT)  Boot Barn Holdings Inc.,Stock Research for BOOT,BOOT,2014-10-30,"('Consumer Cyclical', 'Apparel Retail')"
268,(ARKK)  ARK Innovation ETF,Stock Research for ARKK,ARKK,2014-10-31,"('Mid-Cap Growth', None)"
4389,(ARKK)  ARK Innovation ETF,Stock Research for ARKK,ARKK,2014-10-31,"('Mid-Cap Growth', None)"
557,(BSGM)  BioSig Technologies Inc.,Stock Research for BSGM,BSGM,2014-10-31,"('Healthcare', 'Medical Devices')"
2157,(KE)  Kimball Electronics Inc.,Stock Research for KE,KE,2014-11-03,"('Industrials', 'Electrical Equipment & Parts')"
2245,(LBRDA)  Liberty Broadband Corp.,Stock Research for LBRDA,LBRDA,2014-11-04,"('Communication Services', 'Entertainment')"
2246,(LBRDK)  Liberty Broadband Corp.,Stock Research for LBRDK,LBRDK,2014-11-05,"('Communication Services', 'Entertainment')"
4249,(XENE)  Xenon Pharmaceuticals Inc.,Stock Research for XENE,XENE,2014-11-05,"('Healthcare', 'Biotechnology')"
718,(CHRS)  Coherus Biosciences Inc,Stock Research for CHRS,CHRS,2014-11-06,"('Healthcare', 'Biotechnology')"
2737,(NVRO)  Nevro Corp.,Stock Research for NVRO,NVRO,2014-11-06,"('Healthcare', 'Medical Devices')"
3951,(UPLD)  Upland Software Inc.,Stock Research for UPLD,UPLD,2014-11-06,"('Technology', 'Software—Application')"
3693,(TBK)  Triumph Bancorp Inc.,Stock Research for TBK,TBK,2014-11-07,"('Financial Services', 'Banks—Regional')"
2896,(PDBC)  Invesco Optm Yd Dvrs Cdty Stra No K1 ETF,Stock Research for PDBC,PDBC,2014-11-07,"('N/A', None)"
4804,(PDBC)  Invesco Optm Yd Dvrs Cdty Stra No K1 ETF,Stock Research for PDBC,PDBC,2014-11-07,"('N/A', None)"
2130,(JPIN)  JP Morgan Diversified Return Intl Eq ETF,Stock Research for JPIN,JPIN,2014-11-07,"('Foreign Large Blend', None)"
4746,(JPIN)  JP Morgan Diversified Return Intl Eq ETF,Stock Research for JPIN,JPIN,2014-11-07,"('Foreign Large Blend', None)"
3672,(SYNH)  Syneos Health Inc.,Stock Research for SYNH,SYNH,2014-11-07,"('Healthcare', 'Diagnostics & Research')"
1480,(FRPT)  Freshpet Inc.,Stock Research for FRPT,FRPT,2014-11-07,"('Consumer Defensive', 'Packaged Foods')"
2136,(JYNT)  Joint Corp. (The),Stock Research for JYNT,JYNT,2014-11-11,"('Healthcare', 'Medical Care Facilities')"
1723,(HACK)  ETFMG Prime Cyber Security ETF,Stock Research for HACK,HACK,2014-11-12,"('Technology', None)"
371,(AXTA)  Axalta Coating Systems Ltd.,Stock Research for AXTA,AXTA,2014-11-12,"('Basic Materials', 'Specialty Chemicals')"
4630,(HACK)  ETFMG Prime Cyber Security ETF,Stock Research for HACK,HACK,2014-11-12,"('Technology', None)"
1219,(ENVA)  Enova International Inc.,Stock Research for ENVA,ENVA,2014-11-13,"('Financial Services', 'Credit Services')"
3024,(PRAH)  PRA Health Sciences Inc.,Stock Research for PRAH,PRAH,2014-11-13,"('Healthcare', 'Diagnostics & Research')"
3471,(SLNO)  Soleno Therapeutics Inc.,Stock Research for SLNO,SLNO,2014-11-13,"('Healthcare', 'Diagnostics & Research')"
1392,(FGEN)  FibroGen Inc.,Stock Research for FGEN,FGEN,2014-11-14,"('Healthcare', 'Biotechnology')"
2305,(LMRK)  Landmark Infrastructure Partners LP,Stock Research for LMRK,LMRK,2014-11-14,"('Real Estate', 'Real Estate Services')"
3628,(STOR)  STORE Capital Corp.,Stock Research for STOR,STOR,2014-11-18,"('Real Estate', 'REIT—Diversified')"
2945,(PGRE)  Paramount Group Inc.,Stock Research for PGRE,PGRE,2014-11-19,"('Real Estate', 'REIT—Office')"
1282,(EVFM)  Evofem Biosciences Inc.,Stock Research for EVFM,EVFM,2014-11-20,"('Healthcare', 'Biotechnology')"
96,(AGFS)  AgroFresh Solutions Inc.,Stock Research for AGFS,AGFS,2014-11-20,"('Consumer Defensive', 'Farm Products')"
3904,(UBS)  UBS Group AG,Stock Research for UBS,UBS,2014-12-02,"('Financial Services', 'Banks—Diversified')"
2510,(MOMO)  Momo Inc.,Stock Research for MOMO,MOMO,2014-12-11,"('Communication Services', 'Internet Content & Information')"
3124,(QSR)  Restaurant Brands International Inc.,Stock Research for QSR,QSR,2014-12-11,"('Consumer Cyclical', 'Restaurants')"
2251,(LC)  LendingClub Corp.,Stock Research for LC,LC,2014-12-11,"('Financial Services', 'Credit Services')"
2630,(NEWR)  New Relic Inc.,Stock Research for NEWR,NEWR,2014-12-12,"('Technology', 'Software—Infrastructure')"
4180,(WK)  Workiva LLC,Stock Research for WK,WK,2014-12-12,"('Technology', 'Software—Application')"
4882,(SBIO)  ALPS Medical Breakthroughs ETF,Stock Research for SBIO,SBIO,2014-12-31,"('Health', None)"
3338,(SBIO)  ALPS Medical Breakthroughs ETF,Stock Research for SBIO,SBIO,2014-12-31,"('Health', None)"
2969,(PIRS)  Pieris Pharmaceuticals Inc.,Stock Research for PIRS,PIRS,2015-01-02,"('Healthcare', 'Biotechnology')"
2689,(NOMD)  Nomad Foods Ltd,Stock Research for NOMD,NOMD,2015-01-02,"('Consumer Defensive', 'Packaged Foods')"
3123,(QRVO)  Qorvo Inc.,Stock Research for QRVO,QRVO,2015-01-02,"('Technology', 'Semiconductors')"
4745,(JPEM)  JP Morgan Diversified Return EMkts Eq ETF,Stock Research for JPEM,JPEM,2015-01-09,"('Diversified Emerging Mkts', None)"
2129,(JPEM)  JP Morgan Diversified Return EMkts Eq ETF,Stock Research for JPEM,JPEM,2015-01-09,"('Diversified Emerging Mkts', None)"
3914,(UE)  Urban Edge Properties,Stock Research for UE,UE,2015-01-16,"('Real Estate', 'REIT—Diversified')"
2021,(IQLT)  iShares MSCI Intl Quality Factor ETF,Stock Research for IQLT,IQLT,2015-01-21,"('Foreign Large Blend', None)"
4699,(IQLT)  iShares MSCI Intl Quality Factor ETF,Stock Research for IQLT,IQLT,2015-01-21,"('Foreign Large Blend', None)"
530,(BOX)  Box Inc.,Stock Research for BOX,BOX,2015-01-23,"('Technology', 'Software—Infrastructure')"
1276,(EURN)  Euronav NV,Stock Research for EURN,EURN,2015-01-26,"('Energy', 'Oil & Gas Midstream')"
296,(ASND)  Ascendis Pharma AS,Stock Research for ASND,ASND,2015-01-28,"('Healthcare', 'Biotechnology')"
3416,(SHAK)  Shake Shack Inc.,Stock Research for SHAK,SHAK,2015-01-30,"('Consumer Cyclical', 'Restaurants')"
310,(ATEX)  Anterix Inc.,Stock Research for ATEX,ATEX,2015-02-03,"('Communication Services', 'Telecom Services')"
4255,(XHR)  Xenia Hotels & Resorts Inc.,Stock Research for XHR,XHR,2015-02-04,"('Real Estate', 'REIT—Hotel & Motel')"
3178,(REGL)  ProShares S&P MidCap 400 Dividend Aristocrats ETF,Stock Research for REGL,REGL,2015-02-05,"('Mid-Cap Blend', None)"
1472,(FREL)  Fidelity MSCI Real Estate Index ETF,Stock Research for FREL,FREL,2015-02-05,"('Real Estate', None)"
3481,(SMDV)  ProShares Russell 2000 Dividend Growers ETF,Stock Research for SMDV,SMDV,2015-02-05,"('Small Blend', None)"
4917,(SMDV)  ProShares Russell 2000 Dividend Growers ETF,Stock Research for SMDV,SMDV,2015-02-05,"('Small Blend', None)"
4572,(FREL)  Fidelity MSCI Real Estate Index ETF,Stock Research for FREL,FREL,2015-02-05,"('Real Estate', None)"
4856,(REGL)  ProShares S&P MidCap 400 Dividend Aristocrats ETF,Stock Research for REGL,REGL,2015-02-05,"('Mid-Cap Blend', None)"
4115,(VSTO)  Vista Outdoor Inc.,Stock Research for VSTO,VSTO,2015-02-06,"('Consumer Cyclical', 'Leisure')"
1012,(DEA)  Easterly Government Properties Inc.,Stock Research for DEA,DEA,2015-02-06,"('Real Estate', 'REIT—Office')"
1990,(INOV)  Inovalon Holdings Inc.,Stock Research for INOV,INOV,2015-02-12,"('Healthcare', 'Health Information Services')"
2741,(NVTA)  Invitae Corp.,Stock Research for NVTA,NVTA,2015-02-12,"('Healthcare', 'Diagnostics & Research')"
127,(AJX)  Great Ajax Corp.,Stock Research for AJX,AJX,2015-02-13,"('Real Estate', 'REIT—Mortgage')"
3155,(RCKT)  Rocket Pharmaceuticals Inc.,Stock Research for RCKT,RCKT,2015-02-18,"('Healthcare', 'Biotechnology')"
3488,(SMMT)  Summit Therapeutics plc,Stock Research for SMMT,SMMT,2015-03-05,"('Healthcare', 'Biotechnology')"
3638,(SUM)  Summit Materials Inc.,Stock Research for SUM,SUM,2015-03-12,"('Basic Materials', 'Building Materials')"
3892,(TYME)  Tyme Technologies Inc.,Stock Research for TYME,TYME,2015-03-12,"('Healthcare', 'Biotechnology')"
4378,(AFTY)  Pacer CSOP FTSE China A50 ETF,Stock Research for AFTY,AFTY,2015-03-12,"('China Region', None)"
91,(AFTY)  Pacer CSOP FTSE China A50 ETF,Stock Research for AFTY,AFTY,2015-03-12,"('China Region', None)"
4946,(SRET)  Global X SuperDividend REIT ETF,Stock Research for SRET,SRET,2015-03-17,"('Real Estate', None)"
3584,(SRET)  Global X SuperDividend REIT ETF,Stock Research for SRET,SRET,2015-03-17,"('Real Estate', None)"
228,(APHA)  Aphria Inc.,Stock Research for APHA,APHA,2015-03-18,"('Healthcare', 'Drug Manufacturers—Specialty & Generic')"
2753,(NXRT)  NexPoint Residential Trust Inc.,Stock Research for NXRT,NXRT,2015-03-19,"('Real Estate', 'REIT—Residential')"
755,(CLLS)  Cellectis SA,Stock Research for CLLS,CLLS,2015-03-24,"('Healthcare', 'Biotechnology')"
5077,(XT)  iShares Exponential Technologies ETF,Stock Research for XT,XT,2015-03-24,"('Miscellaneous Sector', None)"
4290,(XT)  iShares Exponential Technologies ETF,Stock Research for XT,XT,2015-03-24,"('Miscellaneous Sector', None)"
3389,(SEDG)  SolarEdge Technologies Inc.,Stock Research for SEDG,SEDG,2015-03-26,"('Technology', 'Solar')"
2101,(JCAP)  Jernigan Capital Inc.,Stock Research for JCAP,JCAP,2015-03-27,"('Real Estate', 'REIT—Industrial')"
1560,(GDDY)  GoDaddy Inc.,Stock Research for GDDY,GDDY,2015-03-31,"('Technology', 'Software—Infrastructure')"
2209,(KRNT)  Kornit Digital Ltd.,Stock Research for KRNT,KRNT,2015-04-02,"('Industrials', 'Specialty Industrial Machinery')"
4557,(FFTY)  Innovator IBD 50 ETF,Stock Research for FFTY,FFTY,2015-04-09,"('N/A', None)"
1391,(FFTY)  Innovator IBD 50 ETF,Stock Research for FFTY,FFTY,2015-04-09,"('N/A', None)"
2141,(KALV)  KalVista Pharmaceuticals Inc.,Stock Research for KALV,KALV,2015-04-09,"('Healthcare', 'Biotechnology')"
3048,(PRTY)  Party City Holdco Inc.,Stock Research for PRTY,PRTY,2015-04-15,"('Consumer Cyclical', 'Specialty Retail')"
4246,(XBIT)  XBiotech Inc.,Stock Research for XBIT,XBIT,2015-04-15,"('Healthcare', 'Biotechnology')"
666,(CDTX)  Cidara Therapeutics Inc.,Stock Research for CDTX,CDTX,2015-04-15,"('Healthcare', 'Biotechnology')"
4423,(CHAU)  Direxion Daily CSI 300 China A Share Bull 2X ETF,Stock Research for CHAU,CHAU,2015-04-16,"('Trading--Leveraged Equity', None)"
4051,(VIRT)  Virtu Financial Inc.,Stock Research for VIRT,VIRT,2015-04-16,"('Financial Services', 'Capital Markets')"
701,(CHAU)  Direxion Daily CSI 300 China A Share Bull 2X ETF,Stock Research for CHAU,CHAU,2015-04-16,"('Trading--Leveraged Equity', None)"
1271,(ETSY)  Etsy Inc.,Stock Research for ETSY,ETSY,2015-04-16,"('Consumer Cyclical', 'Internet Retail')"
2182,(KMPH)  KemPharm Inc.,Stock Research for KMPH,KMPH,2015-04-16,"('Healthcare', 'Biotechnology')"
3946,(UNIT)  Uniti Group Inc.,Stock Research for UNIT,UNIT,2015-04-20,"('Real Estate', 'REIT—Specialty')"
2704,(NSA)  National Storage Affiliates Trust,Stock Research for NSA,NSA,2015-04-22,"('Real Estate', 'REIT—Industrial')"
4059,(VKTX)  Viking Therapeutics Inc.,Stock Research for VKTX,VKTX,2015-04-28,"('Healthcare', 'Biotechnology')"
1278,(EVA)  Enviva Partners LP,Stock Research for EVA,EVA,2015-04-29,"('Basic Materials', 'Lumber & Wood Production')"
4742,(JETS)  U.S. Global Jets ETF,Stock Research for JETS,JETS,2015-04-30,"('Miscellaneous Sector', None)"
533,(BPMC)  Blueprint Medicines Corp.,Stock Research for BPMC,BPMC,2015-04-30,"('Healthcare', 'Biotechnology')"
559,(BSM)  Black Stone Minerals L.P.,Stock Research for BSM,BSM,2015-04-30,"('Energy', 'Oil & Gas E&P')"
2110,(JETS)  U.S. Global Jets ETF,Stock Research for JETS,JETS,2015-04-30,"('Miscellaneous Sector', None)"
2337,(LRGF)  iShares Edge MSCI Multifactor USA ETF,Stock Research for LRGF,LRGF,2015-04-30,"('Large Value', None)"
4767,(LRGF)  iShares Edge MSCI Multifactor USA ETF,Stock Research for LRGF,LRGF,2015-04-30,"('Large Value', None)"
4693,(INTF)  iShares Edge MSCI Multifactor Intl ETF,Stock Research for INTF,INTF,2015-05-04,"('Foreign Large Blend', None)"
1998,(INTF)  iShares Edge MSCI Multifactor Intl ETF,Stock Research for INTF,INTF,2015-05-04,"('Foreign Large Blend', None)"
1842,(HTGM)  HTG Molecular Diagnostics Inc.,Stock Research for HTGM,HTGM,2015-05-06,"('Healthcare', 'Diagnostics & Research')"
56,(ADAP)  Adaptimmune Therapeutics PLC,Stock Research for ADAP,ADAP,2015-05-06,"('Healthcare', 'Biotechnology')"
819,(COLL)  Collegium Pharmaceutical Inc.,Stock Research for COLL,COLL,2015-05-07,"('Healthcare', 'Drug Manufacturers—Specialty & Generic')"
1494,(FTAI)  Fortress Trans. and Infrast. Investors LLC,Stock Research for FTAI,FTAI,2015-05-14,"('Industrials', 'Rental & Leasing Services')"
3227,(RKDA)  Arcadia Biosciences Inc.,Stock Research for RKDA,RKDA,2015-05-15,"('Basic Materials', 'Agricultural Inputs')"
954,(CWEN)  Clearway Energy Inc. Class C,Stock Research for CWEN,CWEN,2015-05-15,"('Utilities', 'Utilities—Renewable')"
230,(APLE)  Apple Hospitality REIT,Stock Research for APLE,APLE,2015-05-18,"('Real Estate', 'REIT—Hotel & Motel')"
483,(BKI)  Black Knight Inc.,Stock Research for BKI,BKI,2015-05-20,"('Technology', 'Software—Infrastructure')"
590,(BZUN)  Baozun Inc.,Stock Research for BZUN,BZUN,2015-05-20,"('Consumer Cyclical', 'Internet Retail')"
3422,(SHOP)  Shopify Inc.,Stock Research for SHOP,SHOP,2015-05-20,"('Technology', 'Software—Application')"
2231,(LABU)  Direxion Daily S&P Biotech Bull 3X ETF,Stock Research for LABU,LABU,2015-05-28,"('Trading--Leveraged Equity', None)"
4760,(LABU)  Direxion Daily S&P Biotech Bull 3X ETF,Stock Research for LABU,LABU,2015-05-28,"('Trading--Leveraged Equity', None)"
4759,(LABD)  Direxion Daily S&P Biotech Bear 3X ETF,Stock Research for LABD,LABD,2015-05-28,"('Trading--Inverse Equity', None)"
2230,(LABD)  Direxion Daily S&P Biotech Bear 3X ETF,Stock Research for LABD,LABD,2015-05-28,"('Trading--Inverse Equity', None)"
