,Company  Name,Details,Symbol,First Trade Date,sector / industry
1694,(GT)  Goodyear Tire & Rubber Co.,Stock Research for GT,GT,1962-01-02,"('Consumer Cyclical', 'Auto Parts')"
1147,(ED)  Consolidated Edison Inc.,Stock Research for ED,ED,1962-01-02,"('Utilities', 'Utilities—Regulated Electric')"
1567,(GE)  General Electric Co.,Stock Research for GE,GE,1962-01-02,"('Industrials', 'Specialty Industrial Machinery')"
2008,(IP)  International Paper Co.,Stock Research for IP,IP,1962-01-02,"('Consumer Cyclical', 'Packaging & Containers')"
2121,(JNJ)  Johnson & Johnson,Stock Research for JNJ,JNJ,1962-01-02,"('Healthcare', 'Drug Manufacturers—General')"
2193,(KO)  Coca-Cola Co. (The),Stock Research for KO,KO,1962-01-02,"('Consumer Defensive', 'Beverages—Non-Alcoholic')"
1415,(FL)  Foot Locker Inc.,Stock Research for FL,FL,1962-01-02,"('Consumer Cyclical', 'Footwear & Accessories')"
1817,(HPQ)  HP Inc.,Stock Research for HPQ,HPQ,1962-01-02,"('Technology', 'Computer Hardware')"
4274,(XOM)  Exxon Mobil Corp.,Stock Research for XOM,XOM,1962-01-02,"('Energy', 'Oil & Gas Integrated')"
1887,(IBM)  Intl. Business Machines,Stock Research for IBM,IBM,1962-01-02,"('Technology', 'Information Technology Services')"
622,(CAT)  Caterpillar Inc.,Stock Research for CAT,CAT,1962-01-02,"('Industrials', 'Farm & Heavy Construction Machinery')"
1101,(DTE)  DTE Energy Co. Hldgs.,Stock Research for DTE,DTE,1962-01-02,"('Utilities', 'Utilities—Regulated Electric')"
1044,(DIS)  Walt Disney Company (The),Stock Research for DIS,DIS,1962-01-02,"('Communication Services', 'Entertainment')"
948,(CVX)  ChevronTexaco,Stock Research for CVX,CVX,1962-01-02,"('Energy', 'Oil & Gas Integrated')"
2938,(PG)  Procter & Gamble Co. (The),Stock Research for PG,PG,1962-01-02,"('Consumer Defensive', 'Household & Personal Products')"
2598,(NAV)  Navistar Intl. Corp.,Stock Research for NAV,NAV,1962-01-02,"('Industrials', 'Farm & Heavy Construction Machinery')"
385,(BA)  Boeing Co. (The),Stock Research for BA,BA,1962-01-02,"('Industrials', 'Aerospace & Defense')"
1,(AA)  ALCOA Inc.,Stock Research for AA,AA,1962-01-02,"('Basic Materials', 'Aluminum')"
2503,(MO)  Altria Group Inc.,Stock Research for MO,MO,1962-01-02,"('Consumer Defensive', 'Tobacco')"
2399,(MCD)  McDonalds Corp.,Stock Research for MCD,MCD,1966-07-05,"('Consumer Cyclical', 'Restaurants')"
3279,(RTX)  Raytheon Technologies Corp.,Stock Research for RTX,RTX,1970-01-02,"('Industrials', 'Aerospace & Defense')"
82,(AEP)  American Electric Power Co. Inc.,Stock Research for AEP,AEP,1970-01-02,"('Utilities', 'Utilities—Regulated Electric')"
2491,(MMM)  3M Co.,Stock Research for MMM,MMM,1970-01-02,"('Industrials', 'Specialty Industrial Machinery')"
2526,(MRK)  Merck & Co. Inc.,Stock Research for MRK,MRK,1970-01-02,"('Healthcare', 'Drug Manufacturers—General')"
798,(CNP)  CenterPoint Energy Inc.,Stock Research for CNP,CNP,1970-01-02,"('Utilities', 'Utilities—Regulated Gas')"
1811,(HON)  Honeywell Inc.,Stock Research for HON,HON,1970-01-02,"('Industrials', 'Specialty Industrial Machinery')"
2531,(MRO)  Marathon Oil Corp.,Stock Research for MRO,MRO,1970-01-02,"('Energy', 'Oil & Gas E&P')"
4167,(WFC)  Wells Fargo & Co.,Stock Research for WFC,WFC,1972-06-01,"('Financial Services', 'Banks—Diversified')"
1727,(HAL)  Halliburton Co.,Stock Research for HAL,HAL,1972-06-01,"('Energy', 'Oil & Gas Equipment & Services')"
3455,(SJW)  SJW Corp.,Stock Research for SJW,SJW,1972-06-01,"('Utilities', 'Utilities—Regulated Water')"
1269,(ETR)  Entergy Corp.,Stock Research for ETR,ETR,1972-06-01,"('Utilities', 'Utilities—Diversified')"
2300,(LLY)  Eli Lilly and Co,Stock Research for LLY,LLY,1972-06-01,"('Healthcare', 'Drug Manufacturers—General')"
1268,(ETN)  Eaton Corp. plc,Stock Research for ETN,ETN,1972-06-01,"('Industrials', 'Specialty Industrial Machinery')"
368,(AXP)  American Express Co.,Stock Research for AXP,AXP,1972-06-01,"('Financial Services', 'Credit Services')"
1005,(DD)  DuPont de Nemours Inc.,Stock Research for DD,DD,1972-06-01,"('Basic Materials', 'Chemicals')"
1203,(EMR)  Emerson Electric Co.,Stock Research for EMR,EMR,1972-06-01,"('Industrials', 'Specialty Industrial Machinery')"
2927,(PFE)  Pfizer Inc.,Stock Research for PFE,PFE,1972-06-01,"('Healthcare', 'Drug Manufacturers—General')"
3887,(TXN)  Texas Instruments Inc.,Stock Research for TXN,TXN,1972-06-01,"('Technology', 'Semiconductors')"
3931,(UIS)  Unisys Corp.,Stock Research for UIS,UIS,1972-06-01,"('Technology', 'Information Technology Services')"
1011,(DE)  Deere & Co.,Stock Research for DE,DE,1972-06-01,"('Industrials', 'Farm & Heavy Construction Machinery')"
513,(BMY)  Bristol-Myers Squibb Co.,Stock Research for BMY,BMY,1972-06-01,"('Healthcare', 'Drug Manufacturers—General')"
2917,(PEP)  PepsiCo Inc.,Stock Research for PEP,PEP,1972-06-01,"('Consumer Defensive', 'Beverages—Non-Alcoholic')"
1333,(F)  Ford Motor Co.,Stock Research for F,F,1972-06-01,"('Consumer Cyclical', 'Auto Manufacturers')"
2885,(PCG)  PG&E Corp.,Stock Research for PCG,PCG,1972-06-01,"('Utilities', 'Utilities—Regulated Electric')"
2876,(PBI)  Pitney Bowes Inc.,Stock Research for PBI,PBI,1972-06-01,"('Industrials', 'Business Equipment & Supplies')"
1822,(HRC)  Hill-Rom Holdings Inc.,Stock Research for HRC,HRC,1972-06-01,"('Healthcare', 'Medical Instruments & Supplies')"
4195,(WMT)  Walmart Inc.,Stock Research for WMT,WMT,1972-08-25,"('Consumer Defensive', 'Discount Stores')"
116,(AIG)  American Intl. Group Inc.,Stock Research for AIG,AIG,1973-01-02,"('Financial Services', 'Insurance—Diversified')"
749,(CLF)  Cleveland-Cliffs Inc.,Stock Research for CLF,CLF,1973-02-21,"('Basic Materials', 'Steel')"
2538,(MSB)  Mesabi Trust,Stock Research for MSB,MSB,1973-02-21,"('Basic Materials', 'Steel')"
2488,(MMC)  Marsh & McLennan Companies Inc.,Stock Research for MMC,MMC,1973-02-21,"('Financial Services', 'Insurance Brokers')"
2423,(MDU)  MDU Resources Group Inc.,Stock Research for MDU,MDU,1973-02-21,"('Basic Materials', 'Building Materials')"
1250,(ES)  Eversource Energy,Stock Research for ES,ES,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
3540,(SPGI)  S&P Global Inc.,Stock Research for SPGI,SPGI,1973-02-21,"('Financial Services', 'Financial Data & Stock Exchanges')"
3001,(PNM)  PNM Resources Inc.,Stock Research for PNM,PNM,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
2475,(MKC)  McCormick Co,Stock Research for MKC,MKC,1973-02-21,"('Consumer Defensive', 'Packaged Foods')"
960,(CWT)  California Water Service Group,Stock Research for CWT,CWT,1973-02-21,"('Utilities', 'Utilities—Regulated Water')"
3613,(STC)  Stewart Information Services Corp.,Stock Research for STC,STC,1973-02-21,"('Financial Services', 'Insurance—Property & Casualty')"
3497,(SNA)  Snap-On Inc.,Stock Research for SNA,SNA,1973-02-21,"('Industrials', 'Tools & Accessories')"
220,(AP)  Ampco-Pittsburgh Corp.,Stock Research for AP,AP,1973-02-21,"('Industrials', 'Metal Fabrication')"
2540,(MSEX)  Middlesex Water Co.,Stock Research for MSEX,MSEX,1973-02-21,"('Utilities', 'Utilities—Regulated Water')"
4248,(XEL)  Xcel Energy Inc.,Stock Research for XEL,XEL,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
3505,(SNE)  Sony Corp. ADR,Stock Research for SNE,SNE,1973-02-21,"('Technology', 'Consumer Electronics')"
4169,(WGO)  Winnebago Industries Inc.,Stock Research for WGO,WGO,1973-02-21,"('Consumer Cyclical', 'Recreational Vehicles')"
1287,(EVRG)  Evergy Inc.,Stock Research for EVRG,EVRG,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
4173,(WHR)  Whirlpool Corp.,Stock Research for WHR,WHR,1973-02-21,"('Consumer Cyclical', 'Furnishings, Fixtures & Appliances')"
354,(AVY)  Avery Dennison Corp.,Stock Research for AVY,AVY,1973-02-21,"('Industrials', 'Business Equipment & Supplies')"
3365,(SCL)  Stepan Company,Stock Research for SCL,SCL,1973-02-21,"('Basic Materials', 'Specialty Chemicals')"
1175,(EGP)  EastGroup Properties Inc.,Stock Research for EGP,EGP,1973-02-21,"('Real Estate', 'REIT—Industrial')"
2746,(NWN)  Northwest Natural Gas Co.,Stock Research for NWN,NWN,1973-02-21,"('Utilities', 'Utilities—Regulated Gas')"
2842,(OTTR)  Otter Tail Corp.,Stock Research for OTTR,OTTR,1973-02-21,"('Utilities', 'Utilities—Diversified')"
359,(AWR)  American States Water Company,Stock Research for AWR,AWR,1973-02-21,"('Utilities', 'Utilities—Regulated Water')"
947,(CVS)  CVS Health Corp.,Stock Research for CVS,CVS,1973-02-21,"('Healthcare', 'Healthcare Plans')"
2795,(OLN)  Olin Corp.,Stock Research for OLN,OLN,1973-02-21,"('Basic Materials', 'Specialty Chemicals')"
1043,(DIOD)  Diodes Inc.,Stock Research for DIOD,DIOD,1973-02-21,"('Technology', 'Semiconductors')"
2366,(LZB)  La-Z-Boy Inc.,Stock Research for LZB,LZB,1973-02-21,"('Consumer Cyclical', 'Furnishings, Fixtures & Appliances')"
2782,(OGE)  OGE Energy Corp.,Stock Research for OGE,OGE,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
1716,(GWW)  Grainger (W.W.) Inc.,Stock Research for GWW,GWW,1973-02-21,"('Industrials', 'Industrial Distribution')"
2651,(NI)  NiSource Inc.,Stock Research for NI,NI,1973-02-21,"('Utilities', 'Utilities—Regulated Gas')"
2618,(NEE)  NextEra Energy Inc.,Stock Research for NEE,NEE,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
1141,(ECL)  ECOLAB Inc.,Stock Research for ECL,ECL,1973-02-21,"('Basic Materials', 'Specialty Chemicals')"
2605,(NBR)  Nabors Indus. Inc.,Stock Research for NBR,NBR,1973-02-21,"('Energy', 'Oil & Gas Drilling')"
2568,(MTZ)  MasTec Inc.,Stock Research for MTZ,MTZ,1973-02-21,"('Industrials', 'Engineering & Construction')"
3991,(UVV)  Universal Corp.,Stock Research for UVV,UVV,1973-02-21,"('Consumer Defensive', 'Tobacco')"
2976,(PKI)  Perkin Elmer Instr.,Stock Research for PKI,PKI,1973-02-21,"('Healthcare', 'Diagnostics & Research')"
3406,(SGC)  Superior Group of Companies Inc.,Stock Research for SGC,SGC,1973-02-21,"('Consumer Cyclical', 'Apparel Manufacturing')"
3663,(SXI)  Standex International Corp.,Stock Research for SXI,SXI,1973-02-21,"('Industrials', 'Specialty Industrial Machinery')"
3006,(PNW)  Pinnacle West Capital Corp.,Stock Research for PNW,PNW,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
786,(CNA)  CNA Financial Corp.,Stock Research for CNA,CNA,1973-02-21,"('Financial Services', 'Insurance—Property & Casualty')"
3577,(SR)  Spire Inc.,Stock Research for SR,SR,1973-02-21,"('Utilities', 'Utilities—Regulated Gas')"
3765,(TKR)  Timken Co. (The),Stock Research for TKR,TKR,1973-02-21,"('Industrials', 'Tools & Accessories')"
877,(CRS)  Carpenter Tech. Corp.,Stock Research for CRS,CRS,1973-02-21,"('Industrials', 'Metal Fabrication')"
840,(CPB)  Campbell Soup Co.,Stock Research for CPB,CPB,1973-02-21,"('Consumer Defensive', 'Packaged Foods')"
2977,(PKOH)  Park-Ohio Holdings Corp.,Stock Research for PKOH,PKOH,1973-02-21,"('Industrials', 'Industrial Distribution')"
1756,(HE)  Hawaiian Electric Indus. Inc.,Stock Research for HE,HE,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
1557,(GCO)  Genesco Inc.,Stock Research for GCO,GCO,1973-02-21,"('Consumer Cyclical', 'Apparel Retail')"
2184,(KMT)  Kennametal Inc.,Stock Research for KMT,KMT,1973-02-21,"('Industrials', 'Tools & Accessories')"
1549,(GATX)  GATX Corp.,Stock Research for GATX,GATX,1973-02-21,"('Industrials', 'Rental & Leasing Services')"
2176,(KLIC)  Kulicke and Soffa Indus. Inc.,Stock Research for KLIC,KLIC,1973-02-21,"('Technology', 'Semiconductor Equipment & Materials')"
777,(CMI)  Cummins Engine Co. Inc.,Stock Research for CMI,CMI,1973-02-21,"('Industrials', 'Specialty Industrial Machinery')"
3745,(TGT)  Target Corp.,Stock Research for TGT,TGT,1973-02-21,"('Consumer Defensive', 'Discount Stores')"
4065,(VMC)  Vulcan Materials,Stock Research for VMC,VMC,1973-02-21,"('Basic Materials', 'Building Materials')"
3923,(UGI)  UGI Corp.,Stock Research for UGI,UGI,1973-02-21,"('Utilities', 'Utilities—Regulated Gas')"
2137,(K)  Kellogg Co.,Stock Research for K,K,1973-02-21,"('Consumer Defensive', 'Packaged Foods')"
450,(BGGSQ)  Briggs & Stratton Corp.,Stock Research for BGGSQ,BGGSQ,1973-02-21,"('Industrials', 'Specialty Industrial Machinery')"
1511,(FUL)  HB Fuller Co.,Stock Research for FUL,FUL,1973-02-21,"('Basic Materials', 'Specialty Chemicals')"
1953,(IIN)  IntriCon Corp,Stock Research for IIN,IIN,1973-02-21,"('Healthcare', 'Medical Instruments & Supplies')"
4066,(VMI)  Valmont Indus. Inc.,Stock Research for VMI,VMI,1973-02-21,"('Industrials', 'Metal Fabrication')"
2104,(JCPNQ)  J.C. Penney Company Inc.,Stock Research for JCPNQ,JCPNQ,1973-02-21,"('Consumer Cyclical', 'Department Stores')"
1906,(IDA)  IDACORP Inc.,Stock Research for IDA,IDA,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
3661,(SWX)  Southwest Gas Corp.,Stock Research for SWX,SWX,1973-02-21,"('Utilities', 'Utilities—Regulated Gas')"
3889,(TXT)  Textron Inc.,Stock Research for TXT,TXT,1973-02-21,"('Industrials', 'Aerospace & Defense')"
1821,(HRB)  H&R Block Inc.,Stock Research for HRB,HRB,1973-02-21,"('Consumer Cyclical', 'Personal Services')"
387,(BAC)  Bank of America Corp.,Stock Research for BAC,BAC,1973-02-21,"('Financial Services', 'Banks—Diversified')"
784,(CMS)  CMS Energy Corp.,Stock Research for CMS,CMS,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
506,(BMI)  Badger Meter Inc.,Stock Research for BMI,BMI,1973-02-21,"('Industrials', 'Electrical Equipment & Parts')"
431,(BDX)  Becton Dickinson & Co.,Stock Research for BDX,BDX,1973-02-21,"('Healthcare', 'Medical Instruments & Supplies')"
497,(BLL)  Ball Corp.,Stock Research for BLL,BLL,1973-02-21,"('Consumer Cyclical', 'Packaging & Containers')"
895,(CSL)  Carlisle Companies Inc.,Stock Research for CSL,CSL,1973-02-21,"('Industrials', 'Building Products & Equipment')"
767,(CLX)  Clorox Co.,Stock Research for CLX,CLX,1973-02-21,"('Consumer Defensive', 'Household & Personal Products')"
80,(AEM)  Agnico-Eagle Mines Ltd.,Stock Research for AEM,AEM,1973-02-21,"('Basic Materials', 'Gold')"
338,(AVA)  Avista Corp.,Stock Research for AVA,AVA,1973-02-21,"('Utilities', 'Utilities—Diversified')"
2312,(LNT)  Alliant Energy Corp.,Stock Research for LNT,LNT,1973-02-21,"('Utilities', 'Utilities—Regulated Electric')"
3728,(TER)  Teradyne Inc.,Stock Research for TER,TER,1973-02-21,"('Technology', 'Semiconductor Equipment & Materials')"
482,(BKH)  Black Hills Corp.,Stock Research for BKH,BKH,1973-02-22,"('Utilities', 'Utilities—Diversified')"
3789,(TNC)  Tennant Co.,Stock Research for TNC,TNC,1973-02-22,"('Industrials', 'Specialty Industrial Machinery')"
2537,(MSA)  Mine Safety Appliances Co.,Stock Research for MSA,MSA,1973-02-22,"('Industrials', 'Security & Protection Services')"
2051,(ITW)  Illinois Tool Works Inc.,Stock Research for ITW,ITW,1973-03-13,"('Industrials', 'Specialty Industrial Machinery')"
2422,(MDT)  Medtronic plc,Stock Research for MDT,MDT,1973-05-02,"('Healthcare', 'Medical Devices')"
740,(CL)  Colgate-Palmolive Co.,Stock Research for CL,CL,1973-05-02,"('Consumer Defensive', 'Household & Personal Products')"
1314,(EXC)  Exelon Corp.,Stock Research for EXC,EXC,1973-05-02,"('Utilities', 'Utilities—Diversified')"
1000,(DCO)  Ducommun Inc.,Stock Research for DCO,DCO,1973-05-03,"('Industrials', 'Aerospace & Defense')"
3965,(USB)  U.S. Bancorp,Stock Research for USB,USB,1973-05-03,"('Financial Services', 'Banks—Regional')"
234,(APOG)  Apogee Enterprises Inc.,Stock Research for APOG,APOG,1973-05-03,"('Industrials', 'Building Products & Equipment')"
4238,(WY)  Weyerhaeuser Co.,Stock Research for WY,WY,1973-05-03,"('Real Estate', 'REIT—Specialty')"
4157,(WDFC)  WD-40 Company,Stock Research for WDFC,WDFC,1973-05-03,"('Basic Materials', 'Specialty Chemicals')"
705,(CHE)  Chemed Corp.,Stock Research for CHE,CHE,1973-05-03,"('Healthcare', 'Medical Care Facilities')"
1579,(GFF)  Griffon Corp.,Stock Research for GFF,GFF,1973-05-03,"('Industrials', 'Tools & Accessories')"
3210,(RGR)  Sturm Ruger & Co. Inc.,Stock Research for RGR,RGR,1973-05-03,"('Industrials', 'Aerospace & Defense')"
3799,(TPC)  Tutor Perini Corp.,Stock Research for TPC,TPC,1973-05-03,"('Industrials', 'Engineering & Construction')"
3460,(SKY)  Skyline Champion Corp.,Stock Research for SKY,SKY,1973-05-03,"('Consumer Cyclical', 'Residential Construction')"
3822,(TRN)  Trinity Industries Inc.,Stock Research for TRN,TRN,1973-05-03,"('Industrials', 'Railroads')"
2760,(NYT)  New York Times Company (The) Class A,Stock Research for NYT,NYT,1973-05-03,"('Communication Services', 'Publishing')"
3004,(PNR)  Pentair plc,Stock Research for PNR,PNR,1973-05-03,"('Industrials', 'Specialty Industrial Machinery')"
1704,(GTY)  Getty Realty Corp.,Stock Research for GTY,GTY,1973-05-03,"('Real Estate', 'REIT—Retail')"
1481,(FRT)  Federal Realty Investment Trust,Stock Research for FRT,FRT,1973-05-03,"('Real Estate', 'REIT—Retail')"
2387,(MATX)  Matson Inc.,Stock Research for MATX,MATX,1973-05-03,"('Industrials', 'Marine Shipping')"
2911,(PEI)  Pennsylvania REIT,Stock Research for PEI,PEI,1973-05-03,"('Real Estate', 'REIT—Retail')"
138,(ALE)  ALLETE Inc.,Stock Research for ALE,ALE,1973-05-03,"('Utilities', 'Utilities—Diversified')"
351,(AVT)  Avnet Inc.,Stock Research for AVT,AVT,1973-05-03,"('Technology', 'Electronics & Computer Distribution')"
1186,(EIX)  Edison Intl.,Stock Research for EIX,EIX,1973-05-03,"('Utilities', 'Utilities—Regulated Electric')"
476,(BK)  Bank of New York Mellon Corp. (The),Stock Research for BK,BK,1973-05-03,"('Financial Services', 'Asset Management')"
2635,(NFG)  National Fuel Gas Co.,Stock Research for NFG,NFG,1973-05-03,"('Energy', 'Oil & Gas Integrated')"
3676,(SYY)  Sysco Corp.,Stock Research for SYY,SYY,1973-05-08,"('Consumer Defensive', 'Food Distribution')"
4210,(WRB)  W.R. Berkley Corp.,Stock Research for WRB,WRB,1973-10-23,"('Financial Services', 'Insurance—Property & Casualty')"
1709,(GV)  Goldfield Corp.,Stock Research for GV,GV,1974-04-09,"('Industrials', 'Engineering & Construction')"
1928,(IFF)  Intnl. Flavors & Fragrances Inc.,Stock Research for IFF,IFF,1974-12-17,"('Basic Materials', 'Specialty Chemicals')"
3686,(TAP)  Molson Coors Brewing Co.,Stock Research for TAP,TAP,1975-06-12,"('Consumer Defensive', 'Beverages—Brewers')"
2789,(OII)  Oceaneering Intl. Inc.,Stock Research for OII,OII,1975-10-31,"('Energy', 'Oil & Gas Equipment & Services')"
203,(ANAT)  American National Insurance Co.,Stock Research for ANAT,ANAT,1975-11-17,"('Financial Services', 'Insurance—Diversified')"
3836,(TRV)  Travelers Companies Inc. (The),Stock Research for TRV,TRV,1975-11-17,"('Financial Services', 'Insurance—Property & Casualty')"
2999,(PNC)  PNC Financial Services Group Inc. (The),Stock Research for PNC,PNC,1975-11-17,"('Financial Services', 'Banks—Regional')"
2385,(MAT)  Mattel Inc.,Stock Research for MAT,MAT,1976-06-17,"('Consumer Cyclical', 'Leisure')"
1762,(HELE)  Helen of Troy Ltd.,Stock Research for HELE,HELE,1976-07-08,"('Consumer Defensive', 'Household & Personal Products')"
3775,(TM)  Toyota Motor Corp.,Stock Research for TM,TM,1976-08-18,"('Consumer Cyclical', 'Auto Manufacturers')"
2203,(KR)  Kroger Co. (The),Stock Research for KR,KR,1977-01-03,"('Consumer Defensive', 'Grocery Stores')"
531,(BP)  BP plc,Stock Research for BP,BP,1977-01-03,"('Energy', 'Oil & Gas Integrated')"
2306,(LMT)  Lockheed Martin Corp.,Stock Research for LMT,LMT,1977-01-03,"('Industrials', 'Aerospace & Defense')"
1559,(GD)  General Dynamics Corp.,Stock Research for GD,GD,1977-01-03,"(None, None)"
4286,(XRX)  Xerox Corp.,Stock Research for XRX,XRX,1977-01-03,"('Technology', 'Information Technology Services')"
591,(C)  Citigroup Inc.,Stock Research for C,C,1977-01-03,"('Financial Services', 'Banks—Diversified')"
2545,(MSI)  Motorola Solutions Inc.,Stock Research for MSI,MSI,1977-01-03,"('Technology', 'Communication Equipment')"
284,(ASA)  ASA Ltd.,Stock Research for ASA,ASA,1978-01-03,"('Financial Services', 'Asset Management')"
1371,(FDX)  FedEx Corp.,Stock Research for FDX,FDX,1978-04-12,"('Industrials', 'Integrated Freight & Logistics')"
4156,(WDC)  Western Digital Corp.,Stock Research for WDC,WDC,1978-10-31,"('Technology', 'Computer Hardware')"
1037,(DHR)  Danaher Corp.,Stock Research for DHR,DHR,1978-12-29,"('Healthcare', 'Diagnostics & Research')"
221,(APA)  Apache Corp.,Stock Research for APA,APA,1979-05-15,"('Energy', 'Oil & Gas E&P')"
2909,(PEG)  Public Service Enterprise Group Inc.,Stock Research for PEG,PEG,1980-01-02,"('Utilities', 'Utilities—Diversified')"
3949,(UNP)  Union Pacific Corp.,Stock Research for UNP,UNP,1980-01-02,"('Industrials', 'Railroads')"
3137,(R)  Ryder System Inc.,Stock Research for R,R,1980-01-02,"('Industrials', 'Rental & Leasing Services')"
4293,(Y)  Alleghany Corp.,Stock Research for Y,Y,1980-01-02,"('Financial Services', 'Insurance—Property & Casualty')"
2352,(LUV)  Southwest Airlines Co.,Stock Research for LUV,LUV,1980-01-02,"('Industrials', 'Airlines')"
2360,(LXU)  LSB Industries Inc.,Stock Research for LXU,LXU,1980-01-02,"('Basic Materials', 'Chemicals')"
468,(BIO)  Bio-Rad Lab. Inc. Class A,Stock Research for BIO,BIO,1980-02-27,"('Healthcare', 'Medical Devices')"
2414,(MDC)  M.D.C. Hldgs. Inc.,Stock Research for MDC,MDC,1980-03-11,"('Consumer Cyclical', 'Residential Construction')"
3254,(ROL)  Rollins Inc.,Stock Research for ROL,ROL,1980-03-17,"('Consumer Cyclical', 'Personal Services')"
3269,(RRD)  RR Donnelley & Sons Co.,Stock Research for RRD,RRD,1980-03-17,"('Industrials', 'Specialty Business Services')"
773,(CMCSA)  Comcast Corp. Class A,Stock Research for CMCSA,CMCSA,1980-03-17,"('Communication Services', 'Entertainment')"
3264,(RPM)  RPM International Inc.,Stock Research for RPM,RPM,1980-03-17,"('Basic Materials', 'Specialty Chemicals')"
3213,(RHI)  Robert Half International Inc.,Stock Research for RHI,RHI,1980-03-17,"('Industrials', 'Staffing & Employment Services')"
770,(CMC)  Commercial Metals Co.,Stock Research for CMC,CMC,1980-03-17,"('Basic Materials', 'Steel')"
3233,(RLI)  RLI Corp.,Stock Research for RLI,RLI,1980-03-17,"('Financial Services', 'Insurance—Property & Casualty')"
769,(CMA)  Comerica Inc.,Stock Research for CMA,CMA,1980-03-17,"('Financial Services', 'Banks—Regional')"
734,(CINF)  Cincinnati Financial Corp.,Stock Research for CINF,CINF,1980-03-17,"('Financial Services', 'Insurance—Property & Casualty')"
457,(BHP)  BHP Group,Stock Research for BHP,BHP,1980-03-17,"('Basic Materials', 'Other Industrial Metals & Mining')"
383,(AZZ)  AZZ Inc.,Stock Research for AZZ,AZZ,1980-03-17,"('Industrials', 'Electrical Equipment & Parts')"
3636,(SU)  Suncor Energy Inc.,Stock Research for SU,SU,1980-03-17,"('Energy', 'Oil & Gas Integrated')"
523,(BOH)  Bank of Hawaii Corp.,Stock Research for BOH,BOH,1980-03-17,"('Financial Services', 'Banks—Regional')"
3631,(STT)  State Street Corp.,Stock Research for STT,STT,1980-03-17,"('Financial Services', 'Asset Management')"
3250,(ROG)  Rogers Corp.,Stock Research for ROG,ROG,1980-03-17,"('Technology', 'Electronic Components')"
3642,(SUP)  Superior Indus. Intl. Inc.,Stock Research for SUP,SUP,1980-03-17,"('Consumer Cyclical', 'Auto Parts')"
3657,(SWK)  Stanley Black & Decker Inc.,Stock Research for SWK,SWK,1980-03-17,"('Industrials', 'Tools & Accessories')"
3660,(SWN)  Southwestern Energy Co.,Stock Research for SWN,SWN,1980-03-17,"('Energy', 'Oil & Gas E&P')"
3664,(SXT)  Sensient Techs. Corp.,Stock Research for SXT,SXT,1980-03-17,"('Basic Materials', 'Specialty Chemicals')"
3668,(SYK)  Stryker Corp.,Stock Research for SYK,SYK,1980-03-17,"('Healthcare', 'Medical Devices')"
1598,(GIS)  General Mills Inc.,Stock Research for GIS,GIS,1980-03-17,"('Consumer Defensive', 'Packaged Foods')"
3715,(TDW)  Tidewater Inc.,Stock Research for TDW,TDW,1980-03-17,"('Energy', 'Oil & Gas Equipment & Services')"
3363,(SCI)  Service Corp Intl.,Stock Research for SCI,SCI,1980-03-17,"('Consumer Cyclical', 'Personal Services')"
703,(CHD)  Church & Dwight Co. Inc.,Stock Research for CHD,CHD,1980-03-17,"('Consumer Defensive', 'Household & Personal Products')"
535,(BPOP)  Popular Inc.,Stock Research for BPOP,BPOP,1980-03-17,"('Financial Services', 'Banks—Regional')"
3737,(TFX)  Teleflex Inc.,Stock Research for TFX,TFX,1980-03-17,"('Healthcare', 'Medical Instruments & Supplies')"
3780,(TMO)  Thermo Fisher Scientific Inc.,Stock Research for TMO,TMO,1980-03-17,"('Healthcare', 'Diagnostics & Research')"
3809,(TR)  Tootsie Roll Industries Inc.,Stock Research for TR,TR,1980-03-17,"('Consumer Defensive', 'Confectioners')"
3810,(TRC)  Tejon Ranch Co.,Stock Research for TRC,TRC,1980-03-17,"('Industrials', 'Conglomerates')"
3821,(TRMK)  Trustmark Corp.,Stock Research for TRMK,TRMK,1980-03-17,"('Financial Services', 'Banks—Regional')"
3495,(SMTC)  Semtech Corp.,Stock Research for SMTC,SMTC,1980-03-17,"('Technology', 'Semiconductors')"
692,(CFR)  Cullen/Frost Bankers Inc.,Stock Research for CFR,CFR,1980-03-17,"('Financial Services', 'Banks—Regional')"
556,(BSET)  Bassett Furniture Industries Inc.,Stock Research for BSET,BSET,1980-03-17,"('Consumer Cyclical', 'Furnishings, Fixtures & Appliances')"
3533,(SPB)  Spectrum Brands Holdings Inc.,Stock Research for SPB,SPB,1980-03-17,"('Consumer Defensive', 'Household & Personal Products')"
3390,(SEE)  Sealed Air Corp.,Stock Research for SEE,SEE,1980-03-17,"('Consumer Cyclical', 'Packaging & Containers')"
3399,(SFE)  Safeguard Scientifics Inc.,Stock Research for SFE,SFE,1980-03-17,"('Financial Services', 'Asset Management')"
