Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,77.812500,78.843750,77.406250,78.812500,48.718708,1744600
1998-01-21,78.093750,78.375000,77.281250,77.843750,48.119877,1839600
1998-01-22,77.187500,77.859375,76.937500,77.187500,47.714203,1662600
1998-01-23,77.500000,77.750000,76.312500,77.000000,47.598293,1693700
1998-01-26,77.375000,77.671875,76.937500,77.312500,47.791462,1172800
1998-01-27,77.125000,78.562500,77.078125,78.218750,48.351719,1454500
1998-01-28,78.375000,79.234375,78.218750,79.125000,48.911896,1181200
1998-01-29,79.062500,80.250000,78.890625,79.406250,49.085754,1468500
1998-01-30,79.937500,79.937500,78.968750,79.234375,48.979492,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015625,50.080612,955600
1998-02-03,81.000000,81.671875,80.656250,81.656250,50.476624,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,50.206196,753200
1998-02-05,81.812500,81.906250,80.734375,81.234375,50.215794,1067600
1998-02-06,81.500000,82.171875,81.359375,82.109375,50.756756,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,50.553871,515900
1998-02-10,82.031250,83.343750,81.921875,83.156250,51.403870,892100
1998-02-11,82.968750,83.390625,82.843750,83.156250,51.403870,515000
1998-02-12,82.734375,84.109375,82.375000,83.687500,51.732262,1065000
1998-02-13,83.343750,83.843750,83.171875,83.640625,51.703320,596700
1998-02-17,84.312500,84.718750,83.890625,84.062500,51.964096,840600
1998-02-18,84.078125,84.703125,83.843750,84.625000,52.311771,773000
1998-02-19,84.640625,84.703125,83.828125,83.828125,51.819168,804800
1998-02-20,84.078125,84.468750,83.312500,84.281250,52.099262,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,52.079975,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,51.925426,702700
1998-02-25,84.250000,85.156250,84.078125,84.687500,52.350452,687400
1998-02-26,84.609375,85.218750,84.406250,85.156250,52.640213,439800
1998-02-27,85.109375,85.953125,84.890625,85.593750,52.910622,451300
1998-03-02,85.750000,85.859375,85.281250,85.718750,52.987885,1062800
1998-03-03,85.218750,86.125000,85.187500,86.109375,53.229343,596600
1998-03-04,85.625000,85.875000,85.109375,85.531250,52.871952,691700
1998-03-05,84.500000,85.265625,84.218750,84.781250,52.408386,778300
1998-03-06,85.093750,86.031250,85.093750,86.031250,53.181007,933100
1998-03-09,85.625000,86.578125,85.593750,85.875000,53.084499,685300
1998-03-10,86.375000,86.750000,86.156250,86.718750,53.606052,563700
1998-03-11,86.937500,87.234375,86.734375,87.000000,53.779892,406600
1998-03-12,86.937500,87.062500,86.312500,86.890625,53.712364,576700
1998-03-13,87.187500,87.250000,86.093750,86.156250,53.258327,458900
1998-03-16,86.562500,87.468750,86.343750,87.468750,54.069660,733000
1998-03-17,87.281250,87.781250,87.078125,87.765625,54.253189,499900
1998-03-18,87.593750,88.015625,87.281250,87.984375,54.388424,410900
1998-03-19,88.000000,88.296875,87.843750,88.234375,54.542934,730000
1998-03-20,88.562500,89.406250,88.281250,89.156250,55.112804,754300
1998-03-23,89.187500,89.187500,88.390625,88.484375,54.697460,551600
1998-03-24,88.968750,89.859375,88.921875,89.437500,55.286652,470300
1998-03-25,90.062500,90.062500,88.250000,88.875000,54.938980,966200
1998-03-26,88.843750,89.296875,88.515625,88.625000,54.784409,412800
1998-03-27,89.343750,89.406250,87.875000,88.265625,54.562271,584100
1998-03-30,88.281250,88.562500,87.687500,88.156250,54.494637,562400
1998-03-31,88.468750,89.312500,88.062500,88.187500,54.513966,620000
1998-04-01,88.359375,89.203125,87.718750,88.937500,54.977631,373700
1998-04-02,88.906250,90.250000,88.828125,90.156250,55.730980,440600
1998-04-03,90.250000,90.578125,89.812500,90.093750,55.692341,493300
1998-04-06,90.875000,91.250000,90.343750,90.375000,55.866188,610500
1998-04-07,90.375000,90.390625,89.250000,89.890625,55.566734,707300
1998-04-08,90.062500,90.062500,88.828125,89.281250,55.190079,949500
1998-04-09,89.656250,90.468750,89.625000,90.375000,55.866188,451700
1998-04-13,90.734375,90.734375,89.562500,90.343750,55.846889,337900
1998-04-14,90.531250,91.515625,90.531250,91.437500,56.522957,451500
1998-04-15,91.656250,92.015625,91.203125,92.015625,56.880333,261800
1998-04-16,91.703125,91.703125,90.796875,91.062500,56.291164,232800
1998-04-17,90.734375,91.750000,90.578125,91.703125,56.899639,382900
1998-04-20,91.593750,91.656250,91.000000,91.296875,56.647552,299400
1998-04-21,91.250000,91.921875,90.968750,91.906250,57.025684,372000
1998-04-22,91.859375,92.109375,91.687500,91.843750,56.986900,503400
1998-04-23,91.718750,92.031250,91.109375,91.312500,56.657215,597700
1998-04-24,91.218750,91.562500,90.062500,90.546875,56.182236,820200
1998-04-27,89.437500,89.875000,88.390625,89.250000,55.377518,1916800
1998-04-28,90.031250,90.125000,88.656250,88.984375,55.212749,437200
1998-04-29,89.281250,89.953125,88.921875,89.421875,55.484173,298700
1998-04-30,90.328125,91.312500,90.218750,90.875000,56.385754,443100
1998-05-01,91.093750,91.656250,90.812500,91.656250,56.870529,338300
1998-05-04,91.984375,92.578125,91.812500,91.812500,56.967533,542500
1998-05-05,91.500000,91.859375,90.968750,91.484375,56.763874,325600
1998-05-06,91.843750,91.859375,90.281250,90.281250,56.017399,665500
1998-05-07,90.625000,90.625000,89.718750,89.734375,55.678085,593100
1998-05-08,89.750000,90.984375,89.687500,90.937500,56.424583,638100
1998-05-11,91.281250,91.843750,90.687500,90.921875,56.414871,703100
1998-05-12,90.906250,91.921875,90.609375,91.921875,57.035381,479000
1998-05-13,91.906250,92.359375,91.625000,92.250000,57.238953,399400
1998-05-14,91.562500,92.296875,91.343750,91.812500,56.967533,622900
1998-05-15,91.875000,91.875000,90.796875,90.796875,56.392605,280900
1998-05-18,90.875000,91.328125,90.000000,90.531250,56.227634,249200
1998-05-19,91.125000,91.312500,90.375000,90.562500,56.247032,482100
1998-05-20,91.250000,91.875000,90.640625,91.781250,57.004021,304400
1998-05-21,91.937500,92.171875,91.109375,91.375000,56.751675,530600
1998-05-22,91.593750,91.593750,90.937500,91.234375,56.664280,219000
1998-05-26,91.734375,91.843750,89.656250,89.656250,55.684216,561300
1998-05-27,89.000000,89.859375,87.937500,89.656250,55.684216,1041100
1998-05-28,89.750000,90.093750,89.187500,89.984375,55.887955,367700
1998-05-29,90.281250,90.421875,88.843750,88.843750,55.179546,232400
1998-06-01,88.625000,89.859375,88.593750,89.406250,55.528934,445800
1998-06-02,89.734375,89.875000,88.781250,88.953125,55.247452,391600
1998-06-03,89.375000,89.406250,87.812500,87.843750,54.558487,473100
1998-06-04,87.875000,88.953125,87.531250,88.890625,55.208664,636200
1998-06-05,89.468750,90.859375,89.000000,90.859375,56.431450,1014000
1998-06-08,90.750000,91.250000,90.484375,90.921875,56.470211,467900
1998-06-09,90.812500,91.046875,90.359375,90.734375,56.353783,180100
1998-06-10,90.281250,91.125000,89.578125,89.750000,55.742378,531300
1998-06-11,90.031250,90.140625,88.125000,88.125000,54.733170,529200
1998-06-12,88.187500,88.625000,86.875000,88.562500,55.004868,909200
1998-06-15,87.562500,87.937500,85.953125,86.000000,53.413338,617400
1998-06-16,86.812500,86.937500,85.937500,86.796875,53.908260,796500
1998-06-17,87.781250,89.171875,87.562500,88.656250,55.063072,895100
1998-06-18,88.437500,88.718750,88.093750,88.312500,54.849663,219000
1998-06-19,88.406250,88.546875,86.859375,87.078125,54.199570,506100
1998-06-22,87.187500,87.703125,86.796875,87.171875,54.257919,161500
1998-06-23,87.656250,88.421875,87.656250,88.375000,55.006813,201600
